,offer_id,time,reward,difficulty,duration,offer_type,web_channel,mobile_channel,social_channel,person_id,gender,age,became_member_on,income
0,2906b810c7d4411798c6938adc9daaa5,0,2,10,7,discount,1,1,0,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,M,42.0,01/17/2016,96000.0
1,fafdcd668e3743c1bb461111dcafc2a4,0,2,10,10,discount,1,1,1,fe97aa22dd3e48c8b143116a8403dd52,F,39.0,12/17/2017,67000.0
2,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,5,5,7,bogo,1,1,0,629fc02d56414d91bca360decdfa9288,M,52.0,06/05/2018,72000.0
3,ae264e3637204a6fb9bb56bc8210ddfd,0,10,10,7,bogo,0,1,1,676506bad68e4161b9bbaffeb039626b,M,37.0,05/15/2017,92000.0
4,4d5c57ea9a6940dd891ad53e9dbe8da0,0,10,10,5,bogo,1,1,1,8f7dd3b2afe14c078eb4f6e6fe4ba97d,M,48.0,09/03/2015,62000.0
5,4d5c57ea9a6940dd891ad53e9dbe8da0,0,10,10,5,bogo,1,1,1,227f2d69e46a4899b70d48182822cff6,M,51.0,05/12/2018,100000.0
6,2298d6c36e964ae4a3e7e9706d1fb8c2,0,3,7,7,discount,1,1,1,bb0f25e23a4c4de6a645527c275cd594,M,56.0,06/11/2014,76000.0
7,f19421c1d4aa40978ebb69ca19b0e20d,0,5,5,5,bogo,1,1,1,d72d201be5794279aa716d8ad82b8d90,F,51.0,02/23/2016,73000.0
8,2906b810c7d4411798c6938adc9daaa5,0,2,10,7,discount,1,1,0,73ffefd41e9a4ca3ab26b2b3697c6eb7,F,67.0,09/29/2015,67000.0
9,4d5c57ea9a6940dd891ad53e9dbe8da0,0,10,10,5,bogo,1,1,1,3e621194f72e40d7a0b695ee9b7c38b7,F,59.0,08/16/2017,90000.0
10,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,5,5,7,bogo,1,1,0,b860d355ef6e4c66b5d5a837c56ef32d,F,49.0,12/26/2017,110000.0
11,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,5,5,7,bogo,1,1,0,99297ea01107436fa8c2e2bc86f55d89,M,62.0,03/25/2017,35000.0
12,2906b810c7d4411798c6938adc9daaa5,0,2,10,7,discount,1,1,0,24115a61df25473e84a8a03f3c98de1a,M,54.0,05/23/2018,39000.0
13,ae264e3637204a6fb9bb56bc8210ddfd,0,10,10,7,bogo,0,1,1,afce4cf8194f4e90a3e92da941a23601,M,31.0,09/26/2016,55000.0
14,2298d6c36e964ae4a3e7e9706d1fb8c2,0,3,7,7,discount,1,1,1,a2ffc22184d94d6fa21b924eb49c0d06,M,19.0,09/15/2017,69000.0
15,2906b810c7d4411798c6938adc9daaa5,0,2,10,7,discount,1,1,0,2481f1fcfbcb4b288e5a03af02d95373,F,64.0,12/24/2016,83000.0
16,2298d6c36e964ae4a3e7e9706d1fb8c2,0,3,7,7,discount,1,1,1,c3321bc76743445c9103eef0ce9d833b,M,76.0,09/12/2015,99000.0
17,2298d6c36e964ae4a3e7e9706d1fb8c2,0,3,7,7,discount,1,1,1,162e7d9c644b438ea4606e337df0d3d1,M,64.0,04/19/2016,60000.0
18,ae264e3637204a6fb9bb56bc8210ddfd,0,10,10,7,bogo,0,1,1,de90515e9f174ddfb8b4c677448286ef,M,55.0,09/11/2017,74000.0
19,f19421c1d4aa40978ebb69ca19b0e20d,0,5,5,5,bogo,1,1,1,5152fa6375184287b06e2fd0d5abed34,F,63.0,07/25/2017,56000.0
20,4d5c57ea9a6940dd891ad53e9dbe8da0,0,10,10,5,bogo,1,1,1,5d048a36203c483facb5ed09983ab388,M,59.0,04/03/2017,74000.0
21,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,5,5,7,bogo,1,1,0,16dc4306258b4fef90ffe99f53ed7952,F,48.0,05/18/2018,46000.0
22,f19421c1d4aa40978ebb69ca19b0e20d,0,5,5,5,bogo,1,1,1,2c9a9137efff4820a47d56dbf0fa555f,M,70.0,12/14/2017,50000.0
23,2298d6c36e964ae4a3e7e9706d1fb8c2,0,3,7,7,discount,1,1,1,bf7a630d566f46f79b855990daf2d0b0,M,43.0,09/03/2015,56000.0
24,fafdcd668e3743c1bb461111dcafc2a4,0,2,10,10,discount,1,1,1,3b78a727167b432d8e1935227b286def,M,38.0,10/16/2015,68000.0
25,fafdcd668e3743c1bb461111dcafc2a4,0,2,10,10,discount,1,1,1,6d11a027be6c4fac98d27eec516ad2f6,M,74.0,03/10/2016,106000.0
26,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,5,5,7,bogo,1,1,0,0454292436bd4cee98e8ec873e30433e,F,18.0,10/30/2015,62000.0
27,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,5,5,7,bogo,1,1,0,60b8a75638d2461b988ba4f089f8ad24,F,49.0,02/02/2017,79000.0
28,fafdcd668e3743c1bb461111dcafc2a4,0,2,10,10,discount,1,1,1,9299c46942f84bb6b5e98fd78fbb9d41,M,70.0,03/01/2018,88000.0
29,f19421c1d4aa40978ebb69ca19b0e20d,0,5,5,5,bogo,1,1,1,69d148898a80483babb0f9b2f2cccf5a,F,35.0,11/13/2013,57000.0
30,f19421c1d4aa40978ebb69ca19b0e20d,0,5,5,5,bogo,1,1,1,e54bb450866048d7b8dd740a6746e554,F,48.0,12/16/2016,65000.0
31,f19421c1d4aa40978ebb69ca19b0e20d,0,5,5,5,bogo,1,1,1,1ba58dab3cae4787ad26d8d77ab7380f,F,25.0,11/26/2017,54000.0
32,2298d6c36e964ae4a3e7e9706d1fb8c2,0,3,7,7,discount,1,1,1,be01dde700574797b5dc59b0ad45242f,F,79.0,02/09/2016,55000.0
33,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,5,5,7,bogo,1,1,0,08d06b602c844926a037b0b253901d52,M,44.0,05/22/2015,84000.0
34,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,5,5,7,bogo,1,1,0,310481d911904e7893fac7229a608be8,M,73.0,03/25/2018,70000.0
35,2298d6c36e964ae4a3e7e9706d1fb8c2,0,3,7,7,discount,1,1,1,dee3814fa583456a8f6635b45a0ba641,F,70.0,09/13/2015,80000.0
36,fafdcd668e3743c1bb461111dcafc2a4,0,2,10,10,discount,1,1,1,b6e07f29867b4284aa42106bdc4d51d3,F,69.0,04/03/2016,87000.0
37,ae264e3637204a6fb9bb56bc8210ddfd,0,10,10,7,bogo,0,1,1,72b5a6743ee84f01a40fd6f1a378c560,F,32.0,03/12/2017,68000.0
38,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,5,5,7,bogo,1,1,0,dfb467ce80d54545ae7ffc103b8fba35,M,54.0,06/26/2017,56000.0
39,9b98b8c7a33c4b65b9aebfe6a799e6d9,0,5,5,7,bogo,1,1,0,c2f2e7f440bc45738b2fbea9b58217bd,F,29.0,12/04/2016,38000.0
40,2906b810c7d4411798c6938adc9daaa5,0,2,10,7,discount,1,1,0,a45b69f1c8554ae7af83e74426ca437a,F,77.0,03/29/2018,39000.0
